January 7, 2000
January 14, 2000
January 21, 2000
January 28, 2000
February 4, 2000
February 11, 2000
February 18, 2000
February 25, 2000
March 3, 2000
March 10, 2000
March 17, 2000
March 24, 2000
March 31, 2000
April 7, 2000
April 14, 2000
April 21, 2000
April 28, 2000
May 5, 2000
May 12, 2000
May 19, 2000
May 26, 2000
June 2, 2000
June 9, 2000
June 16, 2000
June 23, 2000
June 30, 2000
July 7, 2000
July 14, 2000
July 21, 2000
July 28, 2000
August 4, 2000
August 11, 2000
August 18, 2000
August 25, 2000
September 1, 2000
September 8, 2000
September 15, 2000
September 22, 2000
September 29, 2000
October 6, 2000
October 13, 2000
October 20, 2000
October 27, 2000
November 3, 2000
November 10, 2000
November 17, 2000
November 24, 2000
December 1, 2000
December 8, 2000
December 15, 2000
December 22, 2000
December 29, 2000
January 5, 2001
January 12, 2001
January 19, 2001
January 26, 2001
February 2, 2001
February 9, 2001
February 16, 2001
February 23, 2001
March 2, 2001
March 9, 2001
March 16, 2001
March 23, 2001
March 30, 2001
April 6, 2001
April 13, 2001
April 20, 2001
April 27, 2001
May 4, 2001
May 11, 2001
May 18, 2001
May 25, 2001
June 1, 2001
June 8, 2001
June 15, 2001
June 22, 2001
June 29, 2001
July 6, 2001
July 13, 2001
July 20, 2001
July 27, 2001
August 3, 2001
August 10, 2001
August 17, 2001
August 24, 2001
August 31, 2001
September 7, 2001
September 14, 2001
September 21, 2001
September 28, 2001
October 5, 2001
October 12, 2001
October 19, 2001
October 26, 2001
November 2, 2001
November 9, 2001
November 16, 2001
November 23, 2001
November 30, 2001
December 7, 2001
December 14, 2001
December 21, 2001
December 28, 2001
January 4, 2002
January 11, 2002
January 18, 2002
January 25, 2002
February 1, 2002
February 8, 2002
February 15, 2002
February 22, 2002
March 1, 2002
March 8, 2002
March 15, 2002
March 22, 2002
March 29, 2002
April 5, 2002
April 12, 2002
April 19, 2002
April 26, 2002
May 3, 2002
May 10, 2002
May 17, 2002
May 24, 2002
May 31, 2002
June 7, 2002
June 14, 2002
June 21, 2002
June 28, 2002
July 5, 2002
July 12, 2002
July 19, 2002
July 26, 2002
August 2, 2002
August 9, 2002
August 16, 2002
August 23, 2002
August 30, 2002
September 6, 2002
September 13, 2002
September 20, 2002
September 27, 2002
October 4, 2002
October 11, 2002
October 18, 2002
October 25, 2002
November 1, 2002
November 8, 2002
November 15, 2002
November 22, 2002
November 29, 2002
December 6, 2002
December 13, 2002
December 20, 2002
December 27, 2002
January 3, 2003
January 10, 2003
January 17, 2003
January 24, 2003
January 31, 2003
February 7, 2003
February 14, 2003
February 21, 2003
February 28, 2003
March 7, 2003
March 14, 2003
March 21, 2003
March 28, 2003
April 4, 2003
April 11, 2003
April 18, 2003
April 25, 2003
May 2, 2003
May 9, 2003
May 16, 2003
May 23, 2003
May 30, 2003
June 6, 2003
June 13, 2003
June 20, 2003
June 27, 2003
July 4, 2003
July 11, 2003
July 18, 2003
July 25, 2003
August 1, 2003
August 8, 2003
August 15, 2003
August 22, 2003
August 29, 2003
September 5, 2003
September 12, 2003
September 19, 2003
September 26, 2003
October 3, 2003
October 10, 2003
October 17, 2003
October 24, 2003
October 31, 2003
November 7, 2003
November 14, 2003
November 21, 2003
November 28, 2003
December 5, 2003
December 12, 2003
December 19, 2003
December 26, 2003
January 2, 2004
January 9, 2004
January 16, 2004
January 23, 2004
